Record,ECG,PPG,Delay
Datasets\p004829\p004829-2103-08-30-21-52.hea,1,6,63
Datasets\p013072\p013072-2194-01-22-16-13.hea,1,5,70
Datasets\p013136\p013136-2133-11-09-16-58.hea,1,6,35
Datasets\p013136\p013136-2133-11-10-14-55.hea,1,9,30
Datasets\p015852\p015852-2148-05-03-18-39.hea,2,7,25
Datasets\p016684\p016684-2188-01-29-00-06.hea,1,5,60
Datasets\p019608\p019608-2125-02-05-04-57.hea,1,5,56
Datasets\p022954\p022954-2136-02-29-17-52.hea,1,5,42
Datasets\p023824\p023824-2182-11-27-14-22.hea,2,7,25
Datasets\p025117\p025117-2202-03-15-20-28.hea,1,5,45
Datasets\p026377\p026377-2111-11-17-16-46.hea,1,4,62
Datasets\p026964\p026964-2147-01-11-18-03.hea,1,5,55
Datasets\p029512\p029512-2188-02-27-18-10.hea,1,3,58
Datasets\p043613\p043613-2185-01-18-23-52.hea,1,3,57
Datasets\p050089\p050089-2157-08-23-16-37.hea,5,1,65
Datasets\p050384\p050384-2195-01-30-02-21.hea,1,5,61
Datasets\p050384\p050384-2195-01-30-16-17.hea,1,5,48
Datasets\p055204\p055204-2132-06-30-09-34.hea,1,5,38
Datasets\p055204\p055204-2132-07-02-00-25.hea,1,5,60
Datasets\p058932\p058932-2120-10-13-23-15.hea,1,3,59
Datasets\p062160\p062160-2153-10-03-05-39.hea,1,2,60
Datasets\p062160\p062160-2153-10-03-14-49.hea,1,2,69
Datasets\p063039\p063039-2157-03-29-13-35.hea,2,6,35
Datasets\p063628\p063628-2176-07-02-20-38.hea,1,5,70
Datasets\p063628\p063628-2176-07-04-11-30.hea,2,6,55
Datasets\p063628\p063628-2176-07-05-17-12.hea,1,5,73
Datasets\p068956\p068956-2107-04-21-16-05.hea,1,5,50
Datasets\p069339\p069339-2133-12-09-21-14.hea,2,7,68
Datasets\p075371\p075371-2119-08-22-00-53.hea,1,5,20
Datasets\p075796\p075796-2198-07-25-23-40.hea,1,3,40
Datasets\p077729\p077729-2120-08-31-01-03.hea,1,5,67
Datasets\p079998\p079998-2101-10-21-21-31.hea,2,7,79
Datasets\p081349\p081349-2120-02-11-06-35.hea,1,5,70
Datasets\p085866\p085866-2178-03-20-17-11.hea,1,5,64
Datasets\p087275\p087275-2108-08-29-12-53.hea,1,5,62
Datasets\p087675\p087675-2104-12-04-20-08.hea,1,5,60
Datasets\p087675\p087675-2104-12-05-03-53.hea,1,6,35
Datasets\p089565\p089565-2174-05-12-00-07.hea,1,3,30
Datasets\p092289\p092289-2183-03-17-23-12.hea,2,1,30
Datasets\p092846\p092846-2129-12-21-13-12.hea,1,5,62
Datasets\p094847\p094847-2112-02-12-19-56.hea,1,5,60
Datasets\p097547\p097547-2125-10-21-23-43.hea,2,7,52
